market,side,signal_i,signal_time,break_i,retest_i,level,fight_low,fight_high,atr,volume_ratio,strength
SEMI,SHORT,3844,2025-11-21 09:30:00-05:00,3841,3842,272.7300109863281,267.010009765625,273.4599914550781,4.798651143649995,3.4053934028138673,1.8731625442184596
SEMI,LONG,3882,2025-12-02 09:30:00-05:00,3876,3877,296.5199890136719,296.7300109863281,299.4200134277344,2.8727074672097013,2.961101565021754,2.038303101229955
SEMI,LONG,3887,2025-12-02 14:30:00-05:00,3878,3884,298.4800109863281,298.69000244140625,303.7300109863281,2.804291576564826,7.475067311204875,1.071312730503615
SEMI,SHORT,3943,2025-12-12 14:30:00-05:00,3939,3940,303.9800109863281,299.6400146484375,304.5299987792969,3.105238111414024,1.6174848266829007,0.7517068754499883
SEMI,LONG,3980,2025-12-22 09:30:00-05:00,3973,3974,298.17999267578125,298.1400146484375,301.69000244140625,3.0163145818283037,1.5205564170308357,1.1864854257101605
SEMI,LONG,4074,2026-01-13 09:30:00-05:00,4070,4071,330.6700134277344,330.3599853515625,331.3800048828125,2.0556271845892162,1.6817870349026307,1.1857108118926534
SEMI,LONG,4144,2026-01-28 09:30:00-05:00,4138,4139,351.5799865722656,350.70001220703125,353.20001220703125,2.7317082073028587,3.6239848249461404,2.623525362898341
SEMI,SHORT,4165,2026-02-03 12:30:00-05:00,4162,4163,347.7200012207031,344.0400085449219,349.75,3.7860945094604292,1.0367913009926077,1.1709858993139552
SEMI,SHORT,4176,2026-02-05 09:30:00-05:00,4171,4174,330.3999938964844,328.32501220703125,334.2449951171875,4.928418095262833,3.403855001573964,1.6766921775289019
SEMI,LONG,4190,2026-02-09 09:30:00-05:00,4185,4186,346.4700012207031,346.31500244140625,349.5400085449219,4.483488474133332,1.788531476457296,0.8638218056998033
SEMI,LONG,4267,2026-02-25 09:30:00-05:00,4260,4264,361.3299865722656,361.44000244140625,363.70001220703125,3.035772620935943,5.927591028140446,2.4395001414302926
SEMI,SHORT,4295,2026-03-03 09:30:00-05:00,4288,4289,348.3399963378906,345.44000244140625,352.3299865722656,4.5124501462484545,16.07482240426283,4.166349526685481
SEMI,SHORT,4321,2026-03-06 14:30:00-05:00,4312,4319,330.8900146484375,328.94000244140625,333.3599853515625,4.131286789163106,1.8744510548991329,2.0166351837882424
SEMI,SHORT,4420,2026-03-26 15:30:00-04:00,4417,4418,332.760009765625,329.75,332.94000244140625,3.3561346842425896,2.6317842515750947,1.1841617284732535
SEMI,SHORT,4428,2026-03-30 09:30:00-04:00,4421,4423,328.5299987792969,322.1700134277344,328.1199951171875,3.708643500119808,2.961158631615223,2.4188508043987595
SEMI,SHORT,4433,2026-03-30 14:30:00-04:00,4429,4430,315.6600036621094,309.6099853515625,316.0150146484375,3.695864240503518,1.141821172512977,0.9515115102271452
SEMI,LONG,4483,2026-04-09 15:30:00-04:00,4479,4480,375.7080078125,375.0799865722656,378.0400085449219,3.536699883133095,1.0100128087025775,0.4384566018145006
SEMI,LONG,4497,2026-04-13 15:30:00-04:00,4494,4495,389.6000061035156,388.8399963378906,392.29998779296875,2.9977422562045826,1.3475521181302492,0.7427399249740216
SEMI,LONG,4518,2026-04-16 15:30:00-04:00,4513,4516,402.55999755859375,402.82000732421875,405.9599914550781,2.8640041298152163,1.2966011078570006,0.45314920730204955
SEMI,LONG,4525,2026-04-17 15:30:00-04:00,4521,4523,414.94000244140625,412.8500061035156,414.6600036621094,2.916225918776541,1.021826353689943,0.6663660187119209
SEMI,LONG,4547,2026-04-23 09:30:00-04:00,4543,4545,428.8500061035156,428.32000732421875,432.1600036621094,3.6852732357244857,4.128626314737779,3.5452671437993093
SEMI,LONG,4589,2026-05-01 09:30:00-04:00,4583,4584,456.7950134277344,455.79998779296875,462.1400146484375,4.706904855381147,1.971142923622318,0.7653946895791189
SEMI,LONG,4610,2026-05-06 09:30:00-04:00,4604,4605,480.32501220703125,480.7950134277344,486.1807861328125,5.455449544339857,5.418650889788526,1.6395856595433131
SEMI,LONG,4631,2026-05-11 09:30:00-04:00,4626,4627,512.239990234375,512.6699829101562,520.4299926757812,6.234323866063081,2.4976085364047975,1.1373044992934809
SEMI,SHORT,4673,2026-05-19 09:30:00-04:00,4667,4668,497.2900085449219,486.94000244140625,499.489990234375,8.597338929643689,5.091840293996846,1.6176326886782186
SEMI,LONG,4701,2026-05-26 09:30:00-04:00,4695,4696,537.75,535.9400024414062,541.8900146484375,7.337191853896737,3.3162533009394193,4.551767226142989
SEMI,LONG,4741,2026-06-02 14:30:00-04:00,4737,4739,594.9000244140625,594.47998046875,599.4299926757812,6.389966490616689,1.329679294418946,0.6028547382485875
SEMI,SHORT,4760,2026-06-05 12:30:00-04:00,4757,4758,577.5399780273438,558.5499877929688,576.97998046875,10.800598786389292,2.987637173325064,1.2069755262960002
SEMI,SHORT,4763,2026-06-05 15:30:00-04:00,4760,4761,558.5499877929688,541.6300048828125,559.6849975585938,10.874017968004768,3.1574569860326376,1.179327660922474
SEMI,LONG,4799,2026-06-15 09:30:00-04:00,4792,4793,588.0,586.3200073242188,602.6900024414062,12.418327098207078,2.071088242246615,2.322629265357116
SEMI,LONG,4827,2026-06-22 09:30:00-04:00,4820,4821,629.7199096679688,630.9500122070312,644.3900146484375,10.2021548887136,1.8730187462056922,1.348697791588878
SEMI,SHORT,4897,2026-07-07 09:30:00-04:00,4884,4892,587.010009765625,580.75,592.8800048828125,12.279757070419535,2.434452001218745,4.001285124771489
SEMI,SHORT,4953,2026-07-17 09:30:00-04:00,4948,4949,532.6799926757812,525.4299926757812,531.989990234375,11.076955396958015,5.651854689243493,1.4879470999046434
SEMI,SHORT,5002,2026-07-28 09:30:00-04:00,4996,4998,506.5249938964844,503.96099853515625,518.8098754882812,10.989159978425924,4.949655740225519,2.8414503448278317
SEMI,SHORT,5009,2026-07-29 09:30:00-04:00,5002,5004,500.0,489.6300048828125,498.4599914550781,10.778001113933547,2.8590496766095956,2.383245446580195
