strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,trade_year,market,symbol,name,ticker,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2020-12-22,2020-12-23,2020-12-30,974,978,80800.0,71700.0,pivot,2020-12-10,11.262376237623762,0.3818615751789976,0.810958904109589,0.6130576444937371,2.9231497268089734,79100.0,-2.2018075120855407,-0.18681318681318682,False,end_of_data,Y2020,2020,KOSPI,032830,삼성생명,032830.KS,5.0,2.9231497268089734,0.810958904109589,0.6130576444937371
SOR_E1_BE,2020-04-16,2020-04-17,2020-07-21,804,868,33800.0,31400.0,pivot,2020-04-13,7.100591715976331,0.45016077170418006,0.4416403785488959,0.7285220061307314,1.159278376295245,51650.0,52.657916603828255,7.4375,True,trend_off_next_open,Y2020,2020,KOSPI,035720,카카오,035720.KS,5.0,1.159278376295245,0.4416403785488959,0.7285220061307314
SOR_E1_BE,2020-04-17,2020-04-20,2020-07-21,805,868,34500.0,31400.0,pivot,2020-04-13,8.985507246376812,0.06993006993006994,0.6045016077170418,0.7809246986303716,1.0828300792129832,52700.0,52.60094590385967,5.870967741935484,True,trend_off_next_open,Y2020,2020,KOSPI,035720,카카오,035720.KS,5.0,1.0828300792129832,0.6045016077170418,0.7809246986303716
SOR_E1_BE,2020-08-04,2020-08-05,2020-09-10,879,904,73200.0,61200.0,pivot,2020-07-22,16.39344262295082,0.0,0.7516339869281046,0.6909877320346821,1.25634811746129,78400.0,6.996774836625419,0.43333333333333335,False,trend_off_next_open,Y2020,2020,KOSPI,035720,카카오,035720.KS,5.0,1.25634811746129,0.7516339869281046,0.6909877320346821
SOR_E1_BE,2020-01-03,2020-01-06,2020-02-14,733,760,562000.0,530000.0,pivot,2019-12-26,5.693950177935943,0.0,0.643298969072165,0.4820714803881057,1.3102547095802555,630500.0,12.076479553817387,2.140625,True,trend_off_next_open,Y2020,2020,KOSPI,036570,엔씨소프트,036570.KS,5.0,1.3102547095802555,0.643298969072165,0.4820714803881057
SOR_E1_BE,2020-01-06,2020-01-07,2020-02-14,734,760,583000.0,530000.0,pivot,2019-12-26,9.090909090909092,0.3013182674199623,0.8871595330739299,0.6589833764435311,1.2324427072967572,635000.0,8.810517554258901,0.9811320754716981,False,trend_off_next_open,Y2020,2020,KOSPI,036570,엔씨소프트,036570.KS,5.0,1.2324427072967572,0.8871595330739299,0.6589833764435311
SOR_E1_BE,2020-07-02,2020-07-03,2020-07-16,856,865,961000.0,882000.0,pivot,2020-06-30,8.220603537981269,0.0,0.823021582733813,0.7145449539867517,1.8174099177920084,882000.0,-8.312337067678444,-1.0,False,initial_stop,Y2020,2020,KOSPI,036570,엔씨소프트,036570.KS,5.0,1.8174099177920084,0.823021582733813,0.7145449539867517
SOR_E1_BE,2020-04-16,2020-04-17,2020-04-27,804,810,43404.0546875,37980.546875,pivot,2020-04-10,12.495394385497178,0.16888430823902373,0.6989676051620455,0.8800836665186156,1.3115399277770128,38340.25,-11.75495195941828,-0.9336770338615604,False,trend_off_next_open,Y2020,2020,KOSDAQ,028300,에이치엘비,028300.KQ,5.0,1.3115399277770128,0.6989676051620455,0.8800836665186156
SOR_E1_BE,2020-05-11,2020-05-12,2020-05-18,818,822,44609.72265625,38018.73828125,pivot,2020-05-04,14.774771019735486,0.0,0.7268086510581979,0.3339406891705148,2.429304536952579,39586.10546875,-11.34995514054875,-0.7621952809590753,False,trend_off_next_open,Y2020,2020,KOSDAQ,028300,에이치엘비,028300.KQ,5.0,2.429304536952579,0.7268086510581979,0.3339406891705148
SOR_E1_BE,2020-11-18,2020-11-19,2020-12-30,776,804,42420.0,39020.0,pivot,2020-11-12,8.015087223008015,0.0,0.8163992869875223,0.7575171024578617,1.1848971212851662,50640.0,19.25833405786499,2.4176470588235297,True,end_of_data,Y2020,2020,KOSDAQ,263750,펄어비스,263750.KQ,5.0,1.1848971212851662,0.8163992869875223,0.7575171024578617
SOR_E1_BE,2020-09-16,2020-09-17,2020-09-23,691,695,87100.0,80100.0,pivot,2020-09-11,8.036739380022961,0.0447427293064877,0.7906976744186046,0.9023590111338247,3.5388730412003664,83300.0,-4.458390781647048,-0.5428571428571428,False,trend_off_next_open,Y2020,2020,KOSDAQ,253450,스튜디오드래곤,253450.KQ,5.0,3.5388730412003664,0.7906976744186046,0.9023590111338247
SOR_E1_BE,2020-06-10,2020-06-11,2020-06-15,840,842,63100.0,57200.0,pivot,2020-05-29,9.350237717908083,0.04914004914004914,0.794044665012407,0.6005561934984169,1.5908735187166816,59800.0,-5.324516822412861,-0.559322033898305,False,trend_off_next_open,Y2020,2020,KOSDAQ,032500,케이엠더블유,032500.KQ,5.0,1.5908735187166816,0.794044665012407,0.6005561934984169
SOR_E1_BE,2020-07-15,2020-07-16,2020-08-19,865,888,70600.0,62000.0,pivot,2020-07-10,12.181303116147308,0.0392156862745098,0.8,0.8161903221914215,4.675723929312611,70800.0,0.18305294944596096,0.023255813953488372,False,trend_off_next_open,Y2020,2020,KOSDAQ,032500,케이엠더블유,032500.KQ,5.0,4.675723929312611,0.8,0.8161903221914215
SOR_E1_BE,2020-11-30,2020-12-01,2020-12-23,958,974,73500.0,69600.0,pivot,2020-11-26,5.3061224489795915,0.0,0.7695749440715883,0.6911852476742519,1.544020613843251,75000.0,1.938826505114788,0.38461538461538464,False,trend_off_next_open,Y2020,2020,KOSDAQ,032500,케이엠더블유,032500.KQ,5.0,1.544020613843251,0.7695749440715883,0.6911852476742519
SOR_E1_BE,2020-07-28,2020-07-29,2020-08-11,874,883,37650.0,32800.0,pivot,2020-07-16,12.881806108897742,0.0,0.8584905660377359,0.7452650732427435,5.766723920149903,37200.0,-1.2939745266808744,-0.09278350515463918,False,trend_off_next_open,Y2020,2020,KOSDAQ,240810,원익IPS,240810.KQ,5.0,5.766723920149903,0.8584905660377359,0.7452650732427435
SOR_E1_BE,2020-09-02,2020-09-03,2020-09-23,899,913,184899.53125,155266.890625,pivot,2020-08-28,16.02634707869223,0.0,0.8896037425134137,0.9685840001412975,1.8018143751087776,186624.71875,0.8321578949251895,0.058219161830097614,False,trend_off_next_open,Y2020,2020,KOSDAQ,145020,휴젤,145020.KQ,5.0,1.8018143751087776,0.8896037425134137,0.9685840001412975
SOR_E1_BE,2020-05-06,2020-05-07,2020-06-15,815,842,57233.33203125,46700.0,pivot,2020-04-21,18.404191504172235,0.0,0.7127002564180926,0.381500567128362,1.1592305234162816,60700.0,5.951074632039388,0.3291140883497439,False,trend_off_next_open,Y2020,2020,KOSDAQ,140410,메지온,140410.KQ,5.0,1.1592305234162816,0.7127002564180926,0.381500567128362
SOR_E1_BE,2020-06-11,2020-06-12,2020-08-13,841,885,68251.828125,52158.765625,pivot,2020-06-04,23.57894717563655,0.36487878064582124,0.7905140446510409,0.6670218975485562,8.80055255026681,92894.33203125,35.96922847723765,1.5312501213644079,True,trend_off_next_open,Y2020,2020,KOSDAQ,095700,제넥신,095700.KQ,5.0,8.80055255026681,0.7905140446510409,0.6670218975485562
SOR_E1_BE,2020-05-13,2020-05-14,2020-07-01,820,854,67390.828125,56024.67578125,pivot,2020-05-04,16.86602266211579,0.0,0.7497384536774545,0.9522739420374777,2.8012157894661422,96491.41015625,43.038703707409034,2.5602843557918504,True,trend_off_next_open,Y2020,2020,KOSDAQ,068760,셀트리온제약,068760.KQ,5.0,2.8012157894661422,0.7497384536774545,0.9522739420374777
SOR_E1_BE,2020-06-01,2020-06-02,2020-07-01,833,854,91815.9765625,66907.1640625,pivot,2020-05-28,27.129061229386735,0.16483529162218027,0.8776985406359176,0.5022411773353445,4.5162942604307865,102859.6875,11.916120770870542,0.4433656135755167,False,trend_off_next_open,Y2020,2020,KOSDAQ,068760,셀트리온제약,068760.KQ,5.0,4.5162942604307865,0.8776985406359176,0.5022411773353445
