lever,start,end,cagr,max_dd,calmar
SOXL,2018-06-27,2021-06-25,0.43641336310507217,0.6201976614046977,0.703668185585594
SOXL,2018-09-26,2021-09-24,0.6059875007038007,0.6201976614046977,0.977087690610261
SOXL,2018-12-27,2021-12-27,0.9913915258120589,0.6201976614046977,1.5985089714247505
SOXL,2019-03-29,2022-03-29,0.5812634492913513,0.6201976614046977,0.9372228975756479
SOXL,2019-06-28,2022-06-28,0.44719901299671116,0.6201976614046977,0.7210588507925707
SOXL,2019-09-27,2022-09-27,0.3548572755886583,0.6201976614046977,0.5721680323413914
SOXL,2019-12-27,2022-12-27,0.152402778333522,0.6401911335818242,0.23805824595045422
SOXL,2020-03-30,2023-03-30,0.5662818011238988,0.6401911335818242,0.8845511463984077
SOXL,2020-06-29,2023-06-29,0.5924548142778376,0.6401911335818242,0.9254342698610878
SOXL,2020-09-28,2023-09-28,0.35644356724552506,0.6401911335818242,0.5567767945351703
SOXL,2020-12-28,2023-12-28,0.26792531237840245,0.6401911335818242,0.418508314664371
SOXL,2021-03-30,2024-03-28,0.34751255665331193,0.6401911335818242,0.542826256760233
SOXL,2021-06-29,2024-06-28,0.3239939471493791,0.6401911335818242,0.5060894007335838
SOXL,2021-09-28,2024-09-27,0.1823049233043892,0.6401911335818242,0.2847663982542307
SOXL,2021-12-28,2024-12-27,-0.01915338656802179,0.6357496678338836,-0.030127245891108226
SOXL,2022-03-29,2025-03-28,0.09101129827392684,0.5577514612671088,0.16317536500427252
SOXL,2022-06-29,2025-06-27,0.3249749660051451,0.6370223809133166,0.5101468578532821
SOXL,2022-09-28,2025-09-26,0.46398373701901785,0.6370223809133166,0.7283633211658772
SOXL,2022-12-28,2025-12-26,0.5918401203842734,0.6370223809133166,0.9290727266689371
SOXL,2023-03-30,2026-03-30,0.40121376558737487,0.6370223809133166,0.6298267966851393
SOXL,2023-06-30,2026-06-30,1.3533547033176028,0.6370223809133166,2.1245010283269177
