scenario,period,trades,pnl,pf,winrate
V029|NEXT_OPEN|LEGACY_R|20M|1T,2025,38,-185871.4524999996,0.8061097418109091,0.5263157894736842
V029|NEXT_OPEN|LEGACY_R|20M|1T,2026,33,117464.73400000064,1.2111968071637962,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|20M|2T,2023,6,-9102.397499999963,0.7865987174327145,0.5
V029|NEXT_OPEN|LEGACY_R|20M|2T,2024,44,-199287.02800000028,0.746558948794115,0.5681818181818182
V029|NEXT_OPEN|LEGACY_R|20M|2T,2025,38,-402057.30749999767,0.6575215698767476,0.47368421052631576
V029|NEXT_OPEN|LEGACY_R|20M|2T,2026,33,5941.170500000182,1.0099956236206193,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|50M|0T,2023,6,16460.33750000014,1.1711781256727964,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|50M|0T,2024,46,625652.702000004,1.4854518414321418,0.6521739130434783
V029|NEXT_OPEN|LEGACY_R|50M|0T,2025,44,142573.64499999885,1.0661847829413782,0.5227272727272727
V029|NEXT_OPEN|LEGACY_R|50M|0T,2026,34,119955.25600000005,1.0650662810722666,0.5882352941176471
V029|NEXT_OPEN|LEGACY_R|50M|1T,2023,6,-29366.605000000447,0.7546794949789711,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|50M|1T,2024,45,40534.80049999745,1.024891140149071,0.6222222222222222
V029|NEXT_OPEN|LEGACY_R|50M|1T,2025,42,-582349.4575000003,0.7842247353700192,0.5238095238095238
V029|NEXT_OPEN|LEGACY_R|50M|1T,2026,35,-209856.79700000084,0.8942927653678157,0.6
V029|NEXT_OPEN|LEGACY_R|50M|2T,2023,6,-68562.61499999976,0.5417396832449869,0.5
V029|NEXT_OPEN|LEGACY_R|50M|2T,2024,44,-626877.9419999989,0.694591795014142,0.5681818181818182
V029|NEXT_OPEN|LEGACY_R|50M|2T,2025,42,-1208967.952500003,0.6331357395768588,0.4523809523809524
V029|NEXT_OPEN|LEGACY_R|50M|2T,2026,34,-418581.6850000004,0.796714493916558,0.5588235294117647
V029|NEXT_OPEN|TRAIL_AVG|5M|0T,2023,4,4630.864999999962,14.64326434410938,0.75
V029|NEXT_OPEN|TRAIL_AVG|5M|0T,2024,38,25089.8339999999,1.2093982032338506,0.5526315789473685
V029|NEXT_OPEN|TRAIL_AVG|5M|0T,2025,25,8418.172500000059,1.0756320799318937,0.52
V029|NEXT_OPEN|TRAIL_AVG|5M|0T,2026,19,-100794.62850000044,0.35006661704706704,0.42105263157894735
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,2023,4,1983.2275000000373,2.248520188547152,0.75
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,2024,38,3856.990000000078,1.0275949610840827,0.5526315789473685
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,2025,25,-28680.325000000157,0.797159124794683,0.56
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,2026,19,-110707.86600000026,0.3110973044437234,0.42105263157894735
V029|NEXT_OPEN|TRAIL_AVG|5M|2T,2023,4,-614.4024999999674,0.8244615693397633,0.5
V029|NEXT_OPEN|TRAIL_AVG|5M|2T,2024,38,-25655.746500000052,0.837592628379624,0.5263157894736842
V029|NEXT_OPEN|TRAIL_AVG|5M|2T,2025,25,-56363.559999999736,0.6502880024624733,0.48
V029|NEXT_OPEN|TRAIL_AVG|5M|2T,2026,19,-122854.4559999999,0.2711196313552328,0.42105263157894735
V029|NEXT_OPEN|TRAIL_AVG|10M|0T,2023,5,28212.027500000084,47.03959430625567,0.8
V029|NEXT_OPEN|TRAIL_AVG|10M|0T,2024,45,141642.50149999952,1.5455684930715636,0.5777777777777777
V029|NEXT_OPEN|TRAIL_AVG|10M|0T,2025,33,179447.7824999998,1.6105122890804082,0.48484848484848486
V029|NEXT_OPEN|TRAIL_AVG|10M|0T,2026,26,-169214.3949999994,0.5434922662986151,0.5384615384615384
V029|NEXT_OPEN|TRAIL_AVG|10M|1T,2023,5,21851.68000000005,7.878248620915046,0.8
V029|NEXT_OPEN|TRAIL_AVG|10M|1T,2024,44,78196.8400000013,1.2531300676312263,0.5681818181818182
V029|NEXT_OPEN|TRAIL_AVG|10M|1T,2025,32,85281.73999999941,1.2403039117469183,0.5625
V029|NEXT_OPEN|TRAIL_AVG|10M|1T,2026,25,-167059.13749999975,0.5233606112074363,0.56
V029|NEXT_OPEN|TRAIL_AVG|10M|2T,2023,5,15657.420000000042,3.236708782099972,0.6
V029|NEXT_OPEN|TRAIL_AVG|10M|2T,2024,44,1624.3749999996799,1.0045609666884618,0.5227272727272727
V029|NEXT_OPEN|TRAIL_AVG|10M|2T,2025,32,-46363.48999999967,0.8911704431408553,0.5
V029|NEXT_OPEN|TRAIL_AVG|10M|2T,2026,24,-224665.18349999987,0.38786150671688957,0.5
V029|NEXT_OPEN|TRAIL_AVG|20M|0T,2023,6,55117.05249999999,3.2497341512457782,0.6666666666666666
V029|NEXT_OPEN|TRAIL_AVG|20M|0T,2024,46,295389.6170000009,1.5267559401001967,0.5869565217391305
V029|NEXT_OPEN|TRAIL_AVG|20M|0T,2025,37,247226.68249999947,1.344808708010214,0.4594594594594595
V029|NEXT_OPEN|TRAIL_AVG|20M|0T,2026,34,534311.0470000011,1.8241603918515845,0.6176470588235294
V029|NEXT_OPEN|TRAIL_AVG|20M|1T,2023,6,38232.11249999958,2.180247444668518,0.6666666666666666
V029|NEXT_OPEN|TRAIL_AVG|20M|1T,2024,45,93828.13999999996,1.1415067899001032,0.5777777777777777
V029|NEXT_OPEN|TRAIL_AVG|20M|1T,2025,36,48568.70500000141,1.0573376201814177,0.5277777777777778
V029|NEXT_OPEN|TRAIL_AVG|20M|1T,2026,32,463995.41349999956,1.7564547018448005,0.65625
V029|NEXT_OPEN|TRAIL_AVG|20M|2T,2023,6,21830.952500000014,1.5118160641924845,0.5
V029|NEXT_OPEN|TRAIL_AVG|20M|2T,2024,45,-62381.247999999905,0.9179787929628684,0.5333333333333333
V029|NEXT_OPEN|TRAIL_AVG|20M|2T,2025,36,-195169.8199999986,0.8032555049383787,0.4722222222222222
V029|NEXT_OPEN|TRAIL_AVG|20M|2T,2026,32,356117.37250000075,1.5409425680120183,0.65625
V029|NEXT_OPEN|TRAIL_AVG|50M|0T,2023,6,115945.98250000062,2.2057721151611127,0.6666666666666666
V029|NEXT_OPEN|TRAIL_AVG|50M|0T,2024,47,812054.7300000024,1.5618354934466543,0.5957446808510638
V029|NEXT_OPEN|TRAIL_AVG|50M|0T,2025,42,442572.52250000206,1.2041085231503852,0.42857142857142855
V029|NEXT_OPEN|TRAIL_AVG|50M|0T,2026,36,1414811.2760000054,1.6635980885781663,0.5555555555555556
V029|NEXT_OPEN|TRAIL_AVG|50M|1T,2023,6,68937.57000000007,1.5754823841838441,0.6666666666666666
V029|NEXT_OPEN|TRAIL_AVG|50M|1T,2024,46,276328.57949999697,1.161425914993425,0.5869565217391305
V029|NEXT_OPEN|TRAIL_AVG|50M|1T,2025,41,-81702.45000000205,0.9673855888506091,0.4878048780487805
V029|NEXT_OPEN|TRAIL_AVG|50M|1T,2026,34,1262521.5580000018,1.599875375963662,0.5882352941176471
V029|NEXT_OPEN|TRAIL_AVG|50M|2T,2023,6,5976.780000000261,1.0399477338484706,0.5
V029|NEXT_OPEN|TRAIL_AVG|50M|2T,2024,46,-175097.7524999961,0.9113619421313295,0.5434782608695652
V029|NEXT_OPEN|TRAIL_AVG|50M|2T,2025,41,-786458.0250000005,0.7354216686533946,0.43902439024390244
V029|NEXT_OPEN|TRAIL_AVG|50M|2T,2026,34,929221.337499998,1.4237458190433927,0.5882352941176471
V029|NEXT_OPEN|TRAIL_P70|5M|0T,2023,4,4630.864999999962,14.64326434410938,0.75
V029|NEXT_OPEN|TRAIL_P70|5M|0T,2024,37,38491.57649999998,1.293710056157481,0.5675675675675675
V029|NEXT_OPEN|TRAIL_P70|5M|0T,2025,25,9216.852499999994,1.082511689025951,0.52
V029|NEXT_OPEN|TRAIL_P70|5M|0T,2026,19,-85264.52600000023,0.4487905149627843,0.47368421052631576
