Datetime,breadth20,coverage20,ks_close,ks_ema5,ks_ema20
2024-04-09 09:00:00+09:00,0.6153846153846154,39.0,2736.300048828125,2725.870725971108,2724.658255849152
2024-04-09 10:00:00+09:00,0.41025641025641024,39.0,2720.2900390625,2724.0104970015723,2724.242235202804
2024-04-09 11:00:00+09:00,0.358974358974359,39.0,2711.340087890625,2719.7870272979235,2723.0134592683103
2024-04-09 12:00:00+09:00,0.3333333333333333,39.0,2711.989990234375,2717.1880149434073,2721.963605074602
2024-04-09 13:00:00+09:00,0.358974358974359,39.0,2711.52001953125,2715.298683139355,2720.9689778799975
2024-04-09 14:00:00+09:00,0.2564102564102564,39.0,2706.43994140625,2712.34576922832,2719.5852601205934
2024-04-11 09:00:00+09:00,0.10256410256410256,39.0,2673.3701171875,2699.3538852147135,2715.183817936489
2024-04-11 10:00:00+09:00,0.23076923076923078,39.0,2695.4599609375,2698.0559104556423,2713.3053553651566
2024-04-11 11:00:00+09:00,0.23076923076923078,39.0,2696.75,2697.6206069704285,2711.7286548541897
2024-04-11 12:00:00+09:00,0.3333333333333333,39.0,2706.669921875,2700.6370452719525,2711.2468707609332
2024-04-11 13:00:00+09:00,0.28205128205128205,39.0,2707.699951171875,2702.9913472385933,2710.9090688953083
2024-04-11 14:00:00+09:00,0.3076923076923077,39.0,2711.9599609375,2705.980885138229,2711.009153851707
2024-04-12 09:00:00+09:00,0.1794871794871795,39.0,2697.469970703125,2703.143913659861,2709.7197078375566
2024-04-12 10:00:00+09:00,0.2564102564102564,39.0,2701.43994140625,2702.5759229086575,2708.9311586536223
2024-04-12 11:00:00+09:00,0.20512820512820512,39.0,2697.030029296875,2700.7272917047303,2707.7977177625035
2024-04-12 12:00:00+09:00,0.15384615384615385,39.0,2685.77001953125,2695.7415343135704,2705.6998417404793
2024-04-12 13:00:00+09:00,0.1794871794871795,39.0,2683.139892578125,2691.540987068422,2703.5512751535884
2024-04-12 14:00:00+09:00,0.1794871794871795,39.0,2680.090087890625,2687.7240206758233,2701.3168763666395
2024-04-15 09:00:00+09:00,0.07692307692307693,39.0,2648.93994140625,2674.795994252632,2696.328596846602
2024-04-15 10:00:00+09:00,0.10256410256410256,39.0,2653.97998046875,2667.857322991338,2692.2953952868065
2024-04-15 11:00:00+09:00,0.15384615384615385,39.0,2653.2900390625,2663.0015616817254,2688.58059945592
2024-04-15 12:00:00+09:00,0.1794871794871795,39.0,2657.81005859375,2661.2710606524006,2685.6500717547606
2024-04-15 13:00:00+09:00,0.28205128205128205,39.0,2670.050048828125,2664.197390044309,2684.164355285557
2024-04-15 14:00:00+09:00,0.2564102564102564,39.0,2671.39990234375,2666.598227477456,2682.948693100623
2024-04-16 09:00:00+09:00,0.15384615384615385,39.0,2628.219970703125,2653.8054752193457,2677.7364338246707
2024-04-16 10:00:00+09:00,0.1282051282051282,39.0,2612.27001953125,2639.960323323314,2671.5015372252974
2024-04-16 11:00:00+09:00,0.1282051282051282,39.0,2610.389892578125,2630.103513074918,2665.6813805922334
2024-04-16 12:00:00+09:00,0.1282051282051282,39.0,2609.93994140625,2623.382322518695,2660.3726720983304
2024-04-16 13:00:00+09:00,0.1794871794871795,39.0,2605.860107421875,2617.5415841530885,2655.1809992720014
2024-04-16 14:00:00+09:00,0.1794871794871795,39.0,2612.989990234375,2616.024386180184,2651.1628079350844
2024-04-17 09:00:00+09:00,0.15384615384615385,39.0,2617.590087890625,2616.546286750331,2647.965406026088
2024-04-17 10:00:00+09:00,0.20512820512820512,39.0,2602.080078125,2611.7242172085544,2643.5953747974136
2024-04-17 11:00:00+09:00,0.15384615384615385,39.0,2601.590087890625,2608.346174102578,2639.5948712824816
2024-04-17 12:00:00+09:00,0.1282051282051282,39.0,2600.330078125,2605.6741421100523,2635.855367172245
2024-04-17 13:00:00+09:00,0.20512820512820512,39.0,2613.0400390625,2608.129441094202,2633.682478780841
2024-04-17 14:00:00+09:00,0.1282051282051282,39.0,2594.68994140625,2603.6496078648847,2629.9689037927847
2024-04-18 09:00:00+09:00,0.48717948717948717,39.0,2617.919921875,2608.40637920159,2628.8213817053766
2024-04-18 10:00:00+09:00,0.41025641025641024,39.0,2625.25,2614.020919467727,2628.4812501143883
2024-04-18 11:00:00+09:00,0.48717948717948717,39.0,2630.659912109375,2619.5672503482765,2628.6887417329585
2024-04-18 12:00:00+09:00,0.46153846153846156,39.0,2627.0400390625,2622.0581799196843,2628.53172243101
2024-04-18 13:00:00+09:00,0.4358974358974359,39.0,2628.4599609375,2624.192106925623,2628.5248880030567
2024-04-18 14:00:00+09:00,0.5384615384615384,39.0,2639.909912109375,2629.4313753202073,2629.609176013182
2024-04-19 09:00:00+09:00,0.23076923076923078,39.0,2593.93994140625,2617.6008973488883,2626.2121060506174
2024-04-19 10:00:00+09:00,0.10256410256410256,39.0,2571.89990234375,2602.3672323471756,2621.039515221392
2024-04-19 11:00:00+09:00,0.07692307692307693,39.0,2559.77001953125,2588.1681614085337,2615.2043251556643
2024-04-19 12:00:00+09:00,0.1794871794871795,39.0,2580.570068359375,2585.635463725481,2611.905824508399
2024-04-19 13:00:00+09:00,0.2564102564102564,39.0,2591.169921875,2587.480283108654,2609.9309766385513
2024-04-19 14:00:00+09:00,0.3333333333333333,39.0,2591.43994140625,2588.800169207853,2608.1699256640463
2024-04-22 09:00:00+09:00,0.8205128205128205,39.0,2607.7900390625,2595.1301258260687,2608.1337459877086
2024-04-22 10:00:00+09:00,0.8974358974358975,39.0,2621.02001953125,2603.7600903944626,2609.3610101347126
2024-04-22 11:00:00+09:00,0.8461538461538461,39.0,2613.639892578125,2607.053357789017,2609.7685227483707
2024-04-22 12:00:00+09:00,0.8461538461538461,39.0,2613.25,2609.118905192678,2610.1000920104307
2024-04-22 13:00:00+09:00,0.8205128205128205,39.0,2618.679931640625,2612.3059140086607,2610.9172195942588
2024-04-22 14:00:00+09:00,0.8461538461538461,39.0,2622.669921875,2615.7605832974405,2612.0365245733774
2024-04-23 09:00:00+09:00,0.7948717948717948,39.0,2636.780029296875,2622.767065297252,2614.3930488327583
2024-04-23 10:00:00+09:00,0.717948717948718,39.0,2622.56005859375,2622.6980630627513,2615.170859286186
2024-04-23 11:00:00+09:00,0.717948717948718,39.0,2631.8798828125,2625.758669646001,2616.762194860121
2024-04-23 12:00:00+09:00,0.717948717948718,39.0,2632.85009765625,2628.122478982751,2618.2943760788
2024-04-23 13:00:00+09:00,0.6923076923076923,39.0,2629.6298828125,2628.624946926001,2619.373948148676
2024-04-23 14:00:00+09:00,0.6666666666666666,39.0,2627.889892578125,2628.3799288100427,2620.1849904752903
2024-04-24 09:00:00+09:00,0.8205128205128205,39.0,2668.219970703125,2641.6599427744036,2624.759750496989
2024-04-24 10:00:00+09:00,0.8461538461538461,39.0,2675.4599609375,2652.9266154954357,2629.5883419675138
2024-04-24 11:00:00+09:00,0.8461538461538461,39.0,2672.68994140625,2659.5143907990405,2633.6932561997746
2024-04-24 12:00:00+09:00,0.8461538461538461,39.0,2672.39990234375,2663.809561313944,2637.3796034515817
2024-04-24 13:00:00+09:00,0.7948717948717948,39.0,2674.93994140625,2667.5196880113795,2640.9567784948836
2024-04-24 14:00:00+09:00,0.717948717948718,39.0,2674.39990234375,2669.8130927888365,2644.141837909061
2024-04-25 09:00:00+09:00,0.4358974358974359,39.0,2652.590087890625,2664.0720911560993,2644.9464331454
2024-04-25 10:00:00+09:00,0.5384615384615384,39.0,2646.469970703125,2658.2047176717747,2645.091531960422
2024-04-25 11:00:00+09:00,0.5641025641025641,39.0,2648.989990234375,2655.133141859308,2645.4628137007985
2024-04-25 12:00:00+09:00,0.5384615384615384,39.0,2646.1298828125,2652.132055510372,2645.526344092389
2024-04-25 13:00:00+09:00,0.41025641025641024,39.0,2640.60009765625,2648.2880695589984,2645.057177765138
2024-04-25 14:00:00+09:00,0.3076923076923077,39.0,2636.590087890625,2644.3887423362075,2644.25078825328
2024-04-26 09:00:00+09:00,0.41025641025641024,39.0,2653.3701171875,2647.382533953305,2645.1192957708245
2024-04-26 10:00:00+09:00,0.5384615384615384,39.0,2654.760009765625,2649.841692557412,2646.037459008425
2024-04-26 11:00:00+09:00,0.5128205128205128,39.0,2656.97998046875,2652.2211218611915,2647.0796039094084
2024-04-26 12:00:00+09:00,0.5641025641025641,39.0,2656.81005859375,2653.750767438711,2648.0063138793457
2024-04-26 13:00:00+09:00,0.5641025641025641,39.0,2657.030029296875,2654.843854724766,2648.8657153476815
2024-04-26 14:00:00+09:00,0.5897435897435898,39.0,2658.219970703125,2655.9692267175524,2649.7565968101044
2024-04-29 09:00:00+09:00,0.7692307692307693,39.0,2675.8798828125,2662.606112082535,2652.2445288103327
2024-04-29 10:00:00+09:00,0.8717948717948718,39.0,2680.81005859375,2668.6740942529404,2654.9650554563727
2024-04-29 11:00:00+09:00,0.8461538461538461,39.0,2677.139892578125,2671.496027028002,2657.0769447060634
2024-04-29 12:00:00+09:00,0.8717948717948718,39.0,2678.179931640625,2673.7239952322097,2659.0867529855454
2024-04-29 13:00:00+09:00,0.8461538461538461,39.0,2681.030029296875,2676.1593399204316,2661.17658882472
2024-04-29 14:00:00+09:00,0.8717948717948718,39.0,2683.969970703125,2678.762883514663,2663.3473870988537
2024-04-30 09:00:00+09:00,0.7948717948717948,39.0,2705.3701171875,2687.6319614056088,2667.349551869201
2024-04-30 10:00:00+09:00,0.7948717948717948,39.0,2702.419921875,2692.5612815620725,2670.6895871078486
2024-04-30 11:00:00+09:00,0.7948717948717948,39.0,2703.6201171875,2696.247560103882,2673.8258280678156
2024-04-30 12:00:00+09:00,0.8205128205128205,39.0,2706.909912109375,2699.801677439046,2676.976693214631
2024-04-30 13:00:00+09:00,0.8717948717948718,39.0,2704.31005859375,2701.304471157281,2679.579870869785
2024-04-30 14:00:00+09:00,0.7948717948717948,39.0,2698.43994140625,2700.3496279069377,2681.376068063734
2024-05-02 09:00:00+09:00,0.41025641025641024,39.0,2687.340087890625,2696.013114568167,2681.944069952009
2024-05-02 10:00:00+09:00,0.3076923076923077,39.0,2687.6201171875,2693.2154487746116,2682.484645879199
2024-05-02 11:00:00+09:00,0.48717948717948717,39.0,2687.75,2691.3936325164077,2682.986108176418
2024-05-02 12:00:00+09:00,0.41025641025641024,39.0,2686.110107421875,2689.632457484897,2683.28363191408
2024-05-02 13:00:00+09:00,0.46153846153846156,39.0,2688.800048828125,2689.3549879326397,2683.809004953513
2024-05-02 14:00:00+09:00,0.38461538461538464,39.0,2686.0400390625,2688.2500049759265,2684.0214843924646
2024-05-03 09:00:00+09:00,0.6153846153846154,39.0,2693.8701171875,2690.1233757131176,2684.959449420563
2024-05-03 10:00:00+09:00,0.48717948717948717,39.0,2687.60009765625,2689.2822830274954,2685.2109397287236
2024-05-03 11:00:00+09:00,0.46153846153846156,39.0,2687.340087890625,2688.634884648539,2685.413715744143
2024-05-03 12:00:00+09:00,0.48717948717948717,39.0,2688.97998046875,2688.7499165886093,2685.753360003629
2024-05-03 13:00:00+09:00,0.48717948717948717,39.0,2687.1201171875,2688.206650121573,2685.8835273544737
2024-05-03 14:00:00+09:00,0.48717948717948717,39.0,2680.43994140625,2685.6177472164654,2685.3650905975
2024-05-07 09:00:00+09:00,0.7692307692307693,39.0,2725.580078125,2698.9385241859773,2689.195089409643
2024-05-07 10:00:00+09:00,0.7948717948717948,39.0,2727.02001953125,2708.299022634402,2692.797463706939
2024-05-07 11:00:00+09:00,0.7948717948717948,39.0,2727.93994140625,2714.845995558351,2696.1443663449686
2024-05-07 12:00:00+09:00,0.7435897435897436,39.0,2727.050048828125,2718.9140133149426,2699.087764676698
2024-05-07 13:00:00+09:00,0.7435897435897436,39.0,2730.110107421875,2722.64604468392,2702.0422735095717
2024-05-07 14:00:00+09:00,0.7948717948717948,39.0,2732.35009765625,2725.8807290080304,2704.9287329521126
2024-05-08 09:00:00+09:00,0.7692307692307693,39.0,2732.580078125,2728.1138453803537,2707.5621943971496
2024-05-08 10:00:00+09:00,0.7435897435897436,39.0,2734.9599609375,2730.3958838994026,2710.1715054962306
2024-05-08 11:00:00+09:00,0.717948717948718,39.0,2733.550048828125,2731.4472722089768,2712.398033432601
2024-05-08 12:00:00+09:00,0.6153846153846154,39.0,2731.6201171875,2731.504887201818,2714.2287080759247
2024-05-08 13:00:00+09:00,0.7948717948717948,39.0,2738.760009765625,2733.923261389754,2716.565022522563
2024-05-08 14:00:00+09:00,0.8717948717948718,39.0,2743.159912109375,2737.002144962961,2719.0978691498785
2024-05-09 09:00:00+09:00,0.6410256410256411,39.0,2744.570068359375,2739.5247860950994,2721.5237928841166
2024-05-09 10:00:00+09:00,0.6153846153846154,39.0,2739.449951171875,2739.4998411206916,2723.231046054379
2024-05-09 11:00:00+09:00,0.46153846153846156,39.0,2727.469970703125,2735.489884314836,2723.634753163783
2024-05-09 12:00:00+09:00,0.4358974358974359,39.0,2723.93994140625,2731.6399033453076,2723.6638187106846
2024-05-09 13:00:00+09:00,0.28205128205128205,39.0,2712.52001953125,2725.266608740622,2722.6025045031192
2024-05-09 14:00:00+09:00,0.3333333333333333,39.0,2715.889892578125,2722.1410366864566,2721.9632081293103
2024-05-10 09:00:00+09:00,0.6410256410256411,39.0,2737.0400390625,2727.1073708118047,2723.399096789614
2024-05-10 10:00:00+09:00,0.5641025641025641,39.0,2732.360107421875,2728.8582830151618,2724.2525263736384
