market,month,ticker,momentum63,rank,universe_count,eligible
KR,2023-12-01,140700.KS,0.05249524018280671,4,9,True
KR,2023-12-01,102970.KS,0.04462805661062608,5,9,True
KR,2023-12-01,140710.KS,0.013714263213276956,6,9,False
KR,2023-12-01,091180.KS,0.009397514291422437,7,9,False
KR,2023-12-01,117680.KS,-0.04747476667934525,8,9,False
KR,2023-12-01,117700.KS,-0.10252985930474767,9,9,False
KR,2024-01-01,140710.KS,0.19418600392514374,1,9,True
KR,2024-01-01,091160.KS,0.15341807552549902,2,9,True
KR,2024-01-01,445290.KS,0.10736847269751659,3,9,True
KR,2024-01-01,102970.KS,0.09328965726674854,4,9,True
KR,2024-01-01,091180.KS,0.06290668806360888,5,9,True
KR,2024-01-01,091170.KS,0.0375765417260876,6,9,False
KR,2024-01-01,117700.KS,-0.018895310636437235,7,9,False
KR,2024-01-01,117680.KS,-0.039783764465025184,8,9,False
KR,2024-01-01,140700.KS,-0.04941184991755321,9,9,False
KR,2024-02-01,140710.KS,0.26348798268281803,1,9,True
KR,2024-02-01,091170.KS,0.19208086004911462,2,9,True
KR,2024-02-01,102970.KS,0.16971272734028675,3,9,True
KR,2024-02-01,091180.KS,0.13835533630675,4,9,True
KR,2024-02-01,091160.KS,0.1166313661699756,5,9,True
KR,2024-02-01,445290.KS,0.09538962794906669,6,9,False
KR,2024-02-01,140700.KS,0.04438967063442245,7,9,False
KR,2024-02-01,117700.KS,0.03902439905763133,8,9,False
KR,2024-02-01,117680.KS,-0.02488944370917312,9,9,False
KR,2024-03-01,091170.KS,0.2202470103483165,1,9,True
KR,2024-03-01,102970.KS,0.21248025861690878,2,9,True
KR,2024-03-01,091180.KS,0.21046830834982577,3,9,True
KR,2024-03-01,140700.KS,0.1697530142057777,4,9,True
KR,2024-03-01,140710.KS,0.13295450806511244,5,9,True
KR,2024-03-01,091160.KS,0.10013342278456783,6,9,False
KR,2024-03-01,445290.KS,0.012968814337945167,7,9,False
KR,2024-03-01,117700.KS,0.005882329347159043,8,9,False
KR,2024-03-01,117680.KS,-0.013741948858403852,9,9,False
KR,2024-04-01,091170.KS,0.2325057355636424,1,9,True
KR,2024-04-01,140700.KS,0.20488724168650863,2,9,True
KR,2024-04-01,091160.KS,0.18867404837279422,3,9,True
KR,2024-04-01,102970.KS,0.12280709689617075,4,9,True
KR,2024-04-01,091180.KS,0.11678475011427869,5,9,True
KR,2024-04-01,445290.KS,-0.010745598900573139,6,9,False
KR,2024-04-01,117700.KS,-0.01494762386120485,7,9,False
KR,2024-04-01,117680.KS,-0.0552919987521151,8,9,False
KR,2024-04-01,140710.KS,-0.09135560622405647,9,9,False
KR,2024-05-01,140700.KS,0.2590182508463168,1,9,True
KR,2024-05-01,091170.KS,0.21882336191015006,2,9,True
KR,2024-05-01,091180.KS,0.20725267381621348,3,9,True
KR,2024-05-01,091160.KS,0.1475872467580468,4,9,True
KR,2024-05-01,102970.KS,0.13051333329205694,5,9,True
KR,2024-05-01,117700.KS,0.04853781321671957,6,9,False
KR,2024-05-01,117680.KS,0.0338237223974307,7,9,False
KR,2024-05-01,445290.KS,-0.025856982899071457,8,9,False
KR,2024-05-01,140710.KS,-0.08139756989310132,9,9,False
KR,2024-06-01,091160.KS,0.1307443994009061,1,9,True
KR,2024-06-01,140700.KS,0.09565300837675283,2,9,True
KR,2024-06-01,091170.KS,0.09328073041067109,3,9,True
KR,2024-06-01,091180.KS,0.008771830908650413,4,9,True
KR,2024-06-01,102970.KS,-0.03775827342326088,5,9,False
KR,2024-06-01,117700.KS,-0.038882510581830676,6,9,False
KR,2024-06-01,445290.KS,-0.041410767051104025,7,9,False
KR,2024-06-01,117680.KS,-0.056421398053021155,8,9,False
KR,2024-06-01,140710.KS,-0.05853911156666014,9,9,False
KR,2024-07-01,091160.KS,0.1143646588447007,1,9,True
KR,2024-07-01,140710.KS,0.11282782063367569,2,9,True
KR,2024-07-01,140700.KS,0.09211170704844052,3,9,True
KR,2024-07-01,091180.KS,0.0626815550621791,4,9,True
KR,2024-07-01,091170.KS,-0.0100114340363322,5,9,False
KR,2024-07-01,102970.KS,-0.017759915360476164,6,9,False
KR,2024-07-01,117700.KS,-0.03519061628462339,7,9,False
KR,2024-07-01,117680.KS,-0.04298295882381742,8,9,False
KR,2024-07-01,445290.KS,-0.04913247018265954,9,9,False
KR,2024-08-01,140700.KS,0.11758422519464773,1,9,True
KR,2024-08-01,091170.KS,0.11521337660157305,2,9,True
KR,2024-08-01,140710.KS,0.09051266455219098,3,9,True
KR,2024-08-01,102970.KS,0.078651700192929,4,9,True
KR,2024-08-01,117700.KS,0.05295012390777454,5,9,True
KR,2024-08-01,091160.KS,-0.04248809194493397,6,9,False
KR,2024-08-01,445290.KS,-0.05699111941895185,7,9,False
KR,2024-08-01,091180.KS,-0.07074481051404624,8,9,False
KR,2024-08-01,117680.KS,-0.11568836313420605,9,9,False
KR,2024-09-01,102970.KS,0.12952238008305472,1,9,True
KR,2024-09-01,091170.KS,0.10499982346867798,2,9,True
KR,2024-09-01,140700.KS,0.07712486517752493,3,9,True
KR,2024-09-01,117700.KS,0.058730053600217325,4,9,True
KR,2024-09-01,140710.KS,0.05779728239655757,5,9,True
KR,2024-09-01,091180.KS,-0.05679604438935171,6,9,False
KR,2024-09-01,445290.KS,-0.07276664760034968,7,9,False
KR,2024-09-01,117680.KS,-0.08894087981177201,8,9,False
KR,2024-09-01,091160.KS,-0.16363423392689147,9,9,False
KR,2024-10-01,102970.KS,0.08036980889600209,1,9,True
KR,2024-10-01,091170.KS,0.06920379406918231,2,9,True
KR,2024-10-01,140710.KS,0.0317460221330077,3,9,True
KR,2024-10-01,117680.KS,0.03058806337033615,4,9,True
KR,2024-10-01,140700.KS,-0.013937307134531451,5,9,False
KR,2024-10-01,117700.KS,-0.017515991228596484,6,9,False
KR,2024-10-01,445290.KS,-0.11161971080131938,7,9,False
KR,2024-10-01,091180.KS,-0.16394160801075353,8,9,False
KR,2024-10-01,091160.KS,-0.2693854668416835,9,9,False
KR,2024-11-01,117680.KS,0.21313515189606935,1,9,True
KR,2024-11-01,140710.KS,0.05834183545154703,2,9,True
KR,2024-11-01,102970.KS,0.037549333314661926,3,9,True
KR,2024-11-01,091170.KS,0.00714492980012249,4,9,True
KR,2024-11-01,140700.KS,-0.007444140494165086,5,9,False
KR,2024-11-01,117700.KS,-0.12272727857791244,6,9,False
KR,2024-11-01,445290.KS,-0.12849967834073828,7,9,False
KR,2024-11-01,091180.KS,-0.12941460897589918,8,9,False
KR,2024-11-01,091160.KS,-0.1983143567168809,9,9,False
KR,2024-12-01,117680.KS,0.17187514668421922,1,9,True
KR,2024-12-01,140710.KS,0.09261183212600699,2,9,True
KR,2024-12-01,091170.KS,0.016971141609599005,3,9,True
KR,2024-12-01,445290.KS,-0.018000761780595842,4,9,False
KR,2024-12-01,102970.KS,-0.030322103936240796,5,9,False
KR,2024-12-01,140700.KS,-0.04011314240737518,6,9,False
KR,2024-12-01,091180.KS,-0.07682340040795721,7,9,False
KR,2024-12-01,117700.KS,-0.14035082079769623,8,9,False
KR,2024-12-01,091160.KS,-0.2706164823927477,9,9,False
KR,2025-01-01,117680.KS,0.0413751481413791,1,9,True
KR,2025-01-01,140710.KS,-0.027450996430273267,2,9,False
KR,2025-01-01,091170.KS,-0.033758100809089475,3,9,False
